URL,Model Name,Model ID,Modified At,Size,Digest,Family,Families,Parameter Size,Quantization Level
http://164.52.73.214:11434/api/tags,smollm2:135m,smollm2:135m,2025-01-13T23:04:01.089884456+08:00,270898672,9077fe9d2ae1a4a41a868836b56b8163731a8fe16621397028c2c76f838c6907,llama,llama,134.52M,F16
http://164.52.73.214:11434/api/tags,llama3.1:latest,llama3.1:latest,2024-07-25T14:33:47.39790069+08:00,4661226402,62757c860e01d552d4e46b09c6b8d5396ef9015210105427e05a8b27d7727ed2,llama,llama,8.0B,Q4_0
http://164.52.73.214:11434/api/tags,smollm2:135m,smollm2:135m,2025-01-13T23:04:01.089884456+08:00,270898672,9077fe9d2ae1a4a41a868836b56b8163731a8fe16621397028c2c76f838c6907,llama,llama,134.52M,F16
http://164.52.73.214:11434/api/tags,llama3.1:latest,llama3.1:latest,2024-07-25T14:33:47.39790069+08:00,4661226402,62757c860e01d552d4e46b09c6b8d5396ef9015210105427e05a8b27d7727ed2,llama,llama,8.0B,Q4_0
http://49.51.196.93:11434/api/tags,deepseek-r1:7b,deepseek-r1:7b,2025-02-04T00:02:20.394559694+08:00,4683075271,0a8c266910232fd3291e71e5ba1e058cc5af9d411192cf88b6d30e92b6e73163,qwen2,qwen2,7.6B,Q4_K_M
http://49.51.196.93:11434/api/tags,deepseek-r1:1.5b,deepseek-r1:1.5b,2025-02-03T22:47:25.363050186+08:00,1117322599,a42b25d8c10a841bd24724309898ae851466696a7d7f3a0a408b895538ccbc96,qwen2,qwen2,1.8B,Q4_K_M
http://150.230.59.83:11434/api/tags,smollm2:135m,smollm2:135m,2025-02-07T18:59:47.61652456Z,270898672,9077fe9d2ae1a4a41a868836b56b8163731a8fe16621397028c2c76f838c6907,llama,llama,134.52M,F16
http://150.230.59.83:11434/api/tags,deepseek-r1:7b,deepseek-r1:7b,2025-02-02T05:01:19.113934363Z,4683075271,0a8c266910232fd3291e71e5ba1e058cc5af9d411192cf88b6d30e92b6e73163,qwen2,qwen2,7.6B,Q4_K_M
http://138.2.34.95:11434/api/tags,deepseek-r1:1.5b,deepseek-r1:1.5b,2025-01-31T07:00:24.458369309Z,1117322599,a42b25d8c10a841bd24724309898ae851466696a7d7f3a0a408b895538ccbc96,qwen2,qwen2,1.8B,Q4_K_M
http://27.82.194.51:11434/api/tags,deepseek-r1:14b,deepseek-r1:14b,2025-01-28T11:16:02.68740216+09:00,8988112040,ea35dfe18182f635ee2b214ea30b7520fe1ada68da018f8b395b444b662d4f1a,qwen2,qwen2,14.8B,Q4_K_M
http://27.82.194.51:11434/api/tags,deepseek-r1:32b,deepseek-r1:32b,2025-01-28T10:50:33.589457416+09:00,19851337640,38056bbcbb2d068501ecb2d5ea9cea9dd4847465f1ab88c4d4a412a9f7792717,qwen2,qwen2,32.8B,Q4_K_M
http://27.82.194.51:11434/api/tags,deepseek-r1:70b,deepseek-r1:70b,2025-01-28T10:02:05.179575024+09:00,42520397704,0c1615a8ca32ef41e433aa420558b4685f9fc7f3fd74119860a8e2e389cd7942,llama,llama,70.6B,Q4_K_M
http://27.82.194.51:11434/api/tags,dolphin3:8b-llama3.1-fp16,dolphin3:8b-llama3.1-fp16,2025-01-22T01:24:48.04313231+09:00,16068936091,b0941c6f3226ade33177926620be64d18439f7a84373fa038d3925c59d0bbf8c,llama,llama,8.0B,F16
http://27.82.194.51:11434/api/tags,phi4:latest,phi4:latest,2025-01-13T22:34:31.641755972+09:00,9053116391,ac896e5b8b34a1f4efa7b14d7520725140d5512484457fab45d2a4ea14c69dba,phi3,phi3,14.7B,Q4_K_M
http://27.82.194.51:11434/api/tags,llama3.2-vision:90b,llama3.2-vision:90b,2024-12-26T21:34:35.658363803+09:00,54713024426,d2a5e64c56a9cfed42fc0b8040a717e899d20646ce1ae8314bbe2e9a416f7eeb,mllama,"mllama,mllama",87.7B,Q4_K_M
http://27.82.194.51:11434/api/tags,llama3.2-vision:latest,llama3.2-vision:latest,2024-12-26T20:10:44.907096469+09:00,7901829417,085a1fdae525a3804ac95416b38498099c241defd0f1efc71dcca7f63190ba3d,mllama,"mllama,mllama",9.8B,Q4_K_M
http://27.82.194.51:11434/api/tags,samantha-mistral:latest,samantha-mistral:latest,2024-12-23T22:12:24.359641115+09:00,4108928370,f7c8c9be1da01a601010c57075c88dd545110e92548c8e871f9d594fac52da37,llama,None,7B,Q4_0
http://27.82.194.51:11434/api/tags,phi3.5:latest,phi3.5:latest,2024-12-23T09:45:16.730949463+09:00,2176178843,61819fb370a3c1a9be6694869331e5f85f867a079e9271d66cb223acb81d04ba,phi3,phi3,3.8B,Q4_0
http://27.82.194.51:11434/api/tags,phi3:14b,phi3:14b,2024-12-23T09:38:52.597672091+09:00,7897127458,cf611a26b048362dce8f39ef9bb1c9c33c06b70408fe88eb2286253c707d7471,phi3,phi3,14.0B,Q4_0
http://27.82.194.51:11434/api/tags,phi3:latest,phi3:latest,2024-12-23T09:25:30.924779008+09:00,2176178913,4f222292793889a9a40a020799cfd28d53f3e01af25d48e06c5e708610fc47e9,phi3,phi3,3.8B,Q4_0
http://27.82.194.51:11434/api/tags,gemma2:27b,gemma2:27b,2024-12-23T09:17:48.781722637+09:00,15628387458,53261bc9c192c1cb5fcc898dd3aa15da093f5ab6f08e17e48cf838bb1c58abfe,gemma2,gemma2,27.2B,Q4_0
http://27.82.194.51:11434/api/tags,gemma2:latest,gemma2:latest,2024-12-23T08:51:41.758537683+09:00,5443152417,ff02c3702f322b9e075e9568332d96c0a7028002f1a5a056e0a6784320a4db0b,gemma2,gemma2,9.2B,Q4_0
http://27.82.194.51:11434/api/tags,llama3.2:latest,llama3.2:latest,2024-12-23T08:33:50.920171952+09:00,2019393189,a80c4f17acd55265feec403c7aef86be0c25983ab279d83f3bcd3abbcb5b8b72,llama,llama,3.2B,Q4_K_M
http://27.82.194.51:11434/api/tags,qwen2-math:latest,qwen2-math:latest,2024-12-23T02:22:20.488865804+09:00,4431400514,28cc3a337734d0db9326604d931ccce1c9379f2310b60dee03ef76440b37bb65,qwen2,qwen2,7.6B,Q4_0
http://27.82.194.51:11434/api/tags,qwen2.5:latest,qwen2.5:latest,2024-12-23T02:02:10.44986708+09:00,4683087332,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,qwen2,qwen2,7.6B,Q4_K_M
http://27.82.194.51:11434/api/tags,llama3.3:latest,llama3.3:latest,2024-12-23T01:35:14.95364946+09:00,42520413916,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,llama,llama,70.6B,Q4_K_M
http://27.82.194.51:11434/api/tags,qwen2.5-coder:32b,qwen2.5-coder:32b,2024-12-22T22:22:58.030159599+09:00,19851349856,4bd6cbf2d094264457a17aab6bd6acd1ed7a72fb8f8be3cfb193f63c78dd56df,qwen2,qwen2,32.8B,Q4_K_M
http://27.82.194.51:11434/api/tags,llama3.1:70b,llama3.1:70b,2024-08-31T17:12:01.150610146+09:00,39969751650,f9f6c437c41766f543428f246bac95a19d696485492dac5d57d79dd24ad0e4f2,llama,llama,70.6B,Q4_0
http://27.82.194.51:11434/api/tags,llama3.1:latest,llama3.1:latest,2024-08-31T16:13:14.005511185+09:00,4661230720,f66fc8dc39ea206e03ff6764fcc696b1b4dfb693f0b6ef751731dd4e6269046e,llama,llama,8.0B,Q4_0
http://138.3.213.116:2086/api/tags,deepseek-r1:1.5b,deepseek-r1:1.5b,2025-02-05T09:56:05.612679345+08:00,1117322599,a42b25d8c10a841bd24724309898ae851466696a7d7f3a0a408b895538ccbc96,qwen2,qwen2,1.8B,Q4_K_M
http://138.3.213.116:2086/api/tags,deepseek-r1:7b,deepseek-r1:7b,2025-02-04T19:41:23.093765668+08:00,4683075271,0a8c266910232fd3291e71e5ba1e058cc5af9d411192cf88b6d30e92b6e73163,qwen2,qwen2,7.6B,Q4_K_M
http://138.2.44.24:11434/api/tags,smollm2:135m,smollm2:135m,2025-01-10T07:50:08.608-05:00,270898672,9077fe9d2ae1a4a41a868836b56b8163731a8fe16621397028c2c76f838c6907,llama,llama,134.52M,F16
